input	target
ääriänkyrät	ääri + änkyrät
arvon	arvo + n
miettiminen	miettiminen
tuettaessa	tu + ettaessa
jaettiin	ja + ettiin
Rovaniemellä	Rovaniem + ellä
pihamaalle	piha + maalle
hyvillä	hyv + illä
lokiin	loki + in
opetelleen	opetell + een
luvan	lu + van
erinomaisella	erinomai + sella
muuttolinnuilla	muutto + linnuilla
Egrisiin	Egris + iin
muistanut	muista + nut
poliittiseen	poliitti + seen
Longinos	Longinos
joulujuhlaa	joulu + juhlaa
paukutteli	paukut + teli
retkueen	retkue + en
poikkeuksetta	poikkeu + ksetta
Nürnbergissä	Nürnberg + issä
laatimisessa	laatimi + sessa
makeutusaineet	makeutus + aineet
myydä	myydä
fysiikanpalkinto	fysiik + anpalkinto
Pekalla	Pek + alla
pysäytettyä	pysäyt + ettyä
ehdotetaan	ehdot + etaan
ritariveljiä	ritari + veljiä
175	175
ruskealla	ruskea + lla
raha	raha
alkuperän	alku + perän
välimalleja	väli + malleja
ajattelua	ajattelu + a
Sahin	Sahi + n
jännitettä	jännite + ttä
1977–1998	1977–1998
pinkomaan	pinko + maan
Tomin	Tomi + n
läikkä	läikkä
tekstieditoreista	teksti + editoreista
suunnattiin	suunna + ttiin
demokraattien	demokraatti + en
ihmetellen	ihmetell + en
puurakenteita	puu + rakenteita
vastaukseksi	vastau + kseksi
välieristä	väli + eristä
tilliä	tilli + ä
velvoiteprosentit	velvoite + prosentit
koskettamaan	kosketta + maan
excel-tiedostoina	excel + -tiedostoina
Metsähallitus	Metsähallitus
koputtelemalla	koput + telemalla
Tonetto	Tonetto
ikkuna	ikkuna
kuseskella	kuseskella
esiintymistaitoa	esiintymis + taitoa
korokkeellakin	korok + keellakin
viivyttämällä	viivyttä + mällä
nuoruudessaan	nuoruu + dessaan
toimintakykyisenä	toiminta + kykyisenä
tekeväni	te + keväni
luottojen	luotto + jen
piispanklokoukselle	piispan + klokoukselle
2008-09	2008-09
pakotteita	pakot + teita
aakkosjärjestyksessä	aakkos + järjestyksessä
Petit	Petit
yhdistämisiin	yhdistämi + siin
monitieteisyydestä	monitieteisyy + destä
istuntosalin	istunto + salin
Amsterdamia	Amsterdam + ia
hetki	hetki
strategiasta	strategia + sta
ajautumista	ajautumi + sta
antautumalla	antautu + malla
perehtyvän	perehty + vän
maahanpääsymenettelyissä	maahan + pääsymenettelyissä
potilaan	potila + an
tonneina	tonn + eina
pahimmasta	pah + immasta
simisi	sim + isi
innostui	innostu + i
monivuotisesta	moni + vuotisesta
sovitulle	so + vitulle
kuorsaa	kuorsa + a
periaatetta	periaate + tta
konsulin	konsuli + n
ääni	ääni
kyllä	kyllä
Mediadefender-yritys	Mediadefender + -yritys
arvioivat	arvioi + vat
syihin	sy + ihin
näppäinjärjestykset	näppäin + järjestykset
niukkuuden	niukkuu + den
puhaltaisi	puhalta + isi
bruttokansantuotteen	brutto + kansantuotteen
porotaloutta	poro + taloutta
puolittavan	puolitta + van
yhdessä	yhdessä
oloisiin	oloi + siin
bongata	bongata
vartalonpesu	vartalo + npesu
oikeuskäytännön	oikeus + käytännön
Mineralissiman	Mineralissima + n
nousseet	nous + seet
solujen	solu + jen
iskua	isku + a
pienellä	pien + ellä
puolisoineen	puoliso + ineen
takaruumiin	taka + ruumiin
laskeutumisvalmistelut	laskeutumis + valmistelut
odotuksia	odotu + ksia
Kock	Kock
kommunistien	kommunisti + en
huhut	huhu + t
palkkanauhansa	palkka + nauhansa
purjeveneen	purje + veneen
lähdin	läh + din
ensisilmäyksellä	ensi + silmäyksellä
väärinkäsityksiä	väärin + käsityksiä
ennustaa	ennustaa
Rajala	Rajala
keskiplatonilainen	keski + platonilainen
ulottuvuuden	ulottuvuu + den
kehyksen	kehy + ksen
kavereita	kaver + eita
hellitellä	hellitellä
laskeutuva	laskeutu + va
maksaisi	maksa + isi
ruusun	ruusu + n
seikkailut	seikkailu + t
pyörän	pyörä + n
sitoumusten	sitoumus + ten
erääseen	erä + äseen
harjoittajalla	harjoittaja + lla
kaksoisleuan	kaksois + leuan
virkamiehet	virka + miehet
kääntyminen	kääntyminen
kokonaisuudeksi	kokonaisuu + deksi
kirkonkylästä	kirkon + kylästä
muu	muu
huuhtelu	huuhtelu
mahtaisimmeko	mahta + isimmeko
ihmiskauppaa	ihmis + kauppaa
Jalmarille	Jalmari + lle
ammattioppilaitoksia	ammatti + oppilaitoksia
Aksulle	Aksu + lle
71–96	71–96
Möttölä	Möttölä
liiketoimintaansa	liike + toimintaansa
pienille	pieni + lle
tuulenhalkojasta	tuulen + halkojasta
taulujen	taulu + jen
hihaani	hiha + ani
37:ssä	37 + :ssä
luvut	lu + vut
tekijää	tekijä + ä
sovittelumenettelyn	sovittelu + menettelyn
maahanmuuttajista	maahan + muuttajista
parinkymmenen	pari + nkymmenen
erityisvaatimuksista	erityis + vaatimuksista
tasoitustullikoodi	tasoitus + tullikoodi
rakennettavaan	raken + nettavaan
mustapippurilla	musta + pippurilla
junilla	jun + illa
teesiä	teesi + ä
tarpeitakaan	tar + peitakaan
merkkiä	merkki + ä
käytettäisiin	käyt + ettäisiin
18-vuotias	18 + -vuotias
haarukassa	haaruk + assa
käytäntö	käytäntö
vasemman	vase + mman
jostakin	jo + stakin
raketillani	raket + illani
lukuisia	lukui + sia
ekstaasiin	ekstaasi + in
mielessäsi	miel + essäsi
päällensä	päälle + nsä
Périgueux	Périgueux
lajin	laji + n
täyssähköautoja	täys + sähköautoja
laskennallisen	laskennalli + sen
etelä-	etelä + -
vietiin	vie + tiin
konferenssin	konferenssi + n
palasen	pala + sen
linnusta	lin + nusta
jokin	jokin
kaanikunnan	kaani + kunnan
kyselylomakkeet	kysely + lomakkeet
maidon	mai + don
savua	savu + a
hiuksia	hiu + ksia
häviämiseen	häviämi + seen
Wahlbeck	Wahlbeck
ryssä	ryssä
pahimman	pah + imman
Madrid	Madrid
pallottelu	pallottelu
Acilisenen	Acilisen + en
ritualisoidusti	ritualisoidusti
mainitsemaa	maini + tsemaa
hauskempaa	hausk + empaa
etsii	etsi + i
päämäärien	pää + määrien
Aucklandin	Auckland + in
herätys	herätys
maahisia	maahi + sia
polttoainepumpuissa	poltto + ainepumpuissa
oluelle	olu + elle
ikkunoiden	ikkun + oiden
itseni	itse + ni
teemavuosi	teema + vuosi
puutarhassa	puu + tarhassa
liitäntää	liitäntä + ä
antamissa	anta + missa
Marcus	Marcus
hyviä	hyv + iä
pidempää	pi + dempää
luokse	luokse
EMN:stä	EMN + :stä
irtisanomista	irti + sanomista
tavaroitamme	tavar + oitamme
skripti	skripti
Incubattoio	Incubattoio
jalkaväkisotilaan	jalka + väkisotilaan
huomaamattamme	huoma + amattamme
väreilee	väreil + ee
toimitusaikaa	toimitus + aikaa
loput	lop + ut
tapaamisissa	tapaami + sissa
Portugalissa	Portugali + ssa
mahdollisimman	mahdollisimman
hyväksytyksi	hyväksy + tyksi
noususuhdanteessa	nousu + suhdanteessa
tärkeät	tärkeä + t
suhdannekyselyn	suhdanne + kyselyn
määräaikaistarkistus	määrä + aikaistarkistus
seurustelevan	seurustel + evan
uskontotieteen	uskonto + tieteen
vanhenemassa	vanhe + nemassa
aiotte	ai + otte
vantaalaisseurassa	vantaalais + seurassa
eläinlääkärintarkastuksista	eläin + lääkärintarkastuksista
Kautonen	Kautonen
tahtoisi	tahto + isi
pensaissa	pensa + issa
vaatia	vaatia
viilenemään	viile + nemään
alus	alus
ylläpitäjät	yllä + pitäjät
kaasuyhtiön	kaasu + yhtiön
olivat	ol + ivat
motoriseen	motori + seen
päätöksenteossa	päätöksen + teossa
6,8	6,8
täyttäminen	täyttäminen
KSL	KSL
roskiin	rosk + iin
hetkiä	hetki + ä
kuuluneiden	kuulu + neiden
aihe	aihe
romutavaraa	romu + tavaraa
jatkat	jatka + t
kengissä	ken + gissä
subjektin	subjekti + n
hymyilemään	hymyil + emään
koneista	kone + ista
luottohäiriön	luotto + häiriön
häpeän	häpeä + n
lueskelen	lueskel + en
luotan	luot + an
kappaletavarasatamissa	kappale + tavarasatamissa
1600	1600
mammografian	mammografia + n
Seicento	Seicento
todistusmalli	todistus + malli
sinuun	sin + uun
syysöinä	syys + öinä
tukevassa	tuke + vassa
sielläkään	siellä + kään
eettisistä	eetti + sistä
professorina	professori + na
käyttämisestä	käyttämi + sestä
perspektiivin	perspektiivi + n
ohjeella	ohje + ella
faktaa	fakta + a
lähistöltä	lähistö + ltä
irronneiden	irro + nneiden
valtionhallinnon	valtion + hallinnon
saamiseksi	saami + seksi
budjettileikkauksia	budjetti + leikkauksia
erottanut	erotta + nut
historioitsija	historioitsija
mannekiinin	mannekiini + n
1.1.2010	1.1.2010
saattamisen	saattami + sen
arvioinnit	arvioin + nit
huokui	huoku + i
repsottaa	repsottaa
toimivaltainen	toimi + valtainen
generalia	generalia
aineellisen	aineelli + sen
facebookista	facebook + ista
vilunkipeliä	vilunki + peliä
veren	ver + en
keskinkertaisuuden	keskinkertaisuu + den
Paasio	Paasio
leipääntyneen	leipääntyn + een
työntömitan	työntö + mitan
upeimman	upe + imman
esitä	esit + ä
opiskelualallani	opiskelu + alallani
keskitetty	keskitetty
viimekesän	viime + kesän
kameraan	kamera + an
mielenkiintoiset	mielenkiintoi + set
liiketulos	liike + tulos
lakimiehenä	laki + miehenä
sopimussuhteita	sopimus + suhteita
kertone	kerto + ne
backlinkkien	backlinkki + en
sotilastukikohtana	sotilas + tukikohtana
miettivät	mietti + vät
kolmetoista	kolme + toista
valtiovarainministereiden	valtio + varainministereiden
kastelemisesta	kastelemi + sesta
Grammar	Grammar
Translandialla	Translandia + lla
kosmoksestaan	kosmo + ksestaan
höyryisiin	höyryi + siin
määränpäähämme	määrän + päähämme
keittiössä	keittiö + ssä
pisteitä	piste + itä
omatuntoni	oma + tuntoni
turvoksissa	turvoksissa
tukevan	tuke + van
espanjalaisille	espanjalai + sille
heinäkuun	heinäkuu + n
asioita	asi + oita
selaili	se + laili
opposition	oppositio + n
paitaa	paita + a
kahdelta	ka + hdelta
paalupaikkoja	paalu + paikkoja
FF:n	FF + :n
kasvillisuuteen	kasvillisuu + teen
lääkärin	lääkäri + n
maun	ma + un
kävelyvauhtiani	kävely + vauhtiani
kysynnän	kysyn + nän
vetoomusvaliokunta	vetoomus + valiokunta
väsyttää	väsyttää
jäsenvaltioihin	jäsen + valtioihin
kokoelmalevy	kokoelma + levy
kauppiaat	kauppia + at
keskittyivät	keskitty + ivät
kuljetukset	kuljetu + kset
himot	himo + t
bahasa	bahasa
isku	isku
ylipäälliköksi	yli + päälliköksi
täyttämässä	täyttä + mässä
olekin	ol + ekin
velkaantunut	velkaantu + nut
kaveriporukassa	kaveri + porukassa
väkijoukon	väki + joukon
isästä	isä + stä
taidehuutokaupassa	taide + huutokaupassa
tähtää	täh + tää
jatkamisesta	jatkami + sesta
kääryleen	kääryle + en
puupitoista	puu + pitoista
Zoran	Zoran
rattia	ratti + a
koulutettujen	koulutettu + jen
sateenkaarenväreissä	sateen + kaarenväreissä
eli	el + i
kaaoksen	kaao + ksen
testaukseen	testau + kseen
pastan	pasta + n
työstää	työstää
Koninginnedag	Koninginnedag
pulassa	pula + ssa
torilla	tori + lla
sotarikoksista	sota + rikoksista
laivoja	laiv + oja
kunniamaininnat	kunnia + maininnat
kysyit	kysy + it
järjestäytyneet	järjestäyty + neet
hengitystä	hengitys + tä
WSOP:n	WSOP + :n
Balilla	Bali + lla
puhuin	puhu + in
väitelleelle	väitell + eelle
Kostromaan	Kostromaa + n
toivoikaan	toivo + ikaan
finanssi-	finanssi + -
kavahti	kavaht + i
strategiassa	strategia + ssa
kaupallinen	kaupallinen
palveluntarjoajan	palvelu + ntarjoajan
idästä	i + dästä
Gardellin	Gardell + in
huomaan	huoma + an
nettisivujen	netti + sivujen
Hannoverin	Hannover + in
kävelevä	kävel + evä
kollegoiden	kolleg + oiden
testamenttiin	testamentti + in
LKT	LKT
käsittelyä	käsittely + ä
spontaanin	spontaani + n
ansioistaan	ansio + istaan
post-metal	post + -metal
yksityiskohdat	yksityis + kohdat
tapaamiseen	tapaami + seen
Brysseliin	Bryssel + iin
jonkinlainen	jonkinlainen
kehittyneissä	kehittyn + eissä
eikö	ei + kö
haluaisi	halu + aisi
veljeäni	vel + jeäni
opintosuoritusmerkinnät	opinto + suoritusmerkinnät
palestiinalaishallinnon	palestiinalais + hallinnon
Salmi	Salmi
väliittänyt	väli + ittänyt
epätoivoisesti	epä + toivoisesti
teoksessaan	teo + ksessaan
Hawkwindin	Hawkwind + in
roskakuski	roska + kuski
kermaa	kerma + a
pääsarjakokemusta	pää + sarjakokemusta
painopaperitehdasta	paino + paperitehdasta
suojassa	suoja + ssa
kytkeytyvät	kytkeyty + vät
kelautuivat	kelautu + ivat
tiedonantovelvollisuudet	tiedon + antovelvollisuudet
peltivaurioita	pelti + vaurioita
jääkaappi	jää + kaappi
edellisestä	edelli + sestä
kaltaiseksi	kaltai + seksi
löysi	löy + si
kappaleelta	kappale + elta
etuvalot	etu + valot
mausteita	mauste + ita
jollekin	jo + llekin
elämät	elämä + t
viihdymme	viih + dymme
nurmikkoon	nurmikko + on
kumppanuuteen	kumppanuu + teen
Breletin	Brelet + in
pituiset	pitui + set
kulttuurista	kulttuuri + sta
paranisi	paran + isi
repussa	rep + ussa
allergiaoireet	allergia + oireet
läheinen	läheinen
sieniä	sieni + ä
räyskiä	räysk + iä
esittämä	esittä + mä
keskittyvät	keskitty + vät
tuulivoimaa	tuuli + voimaa
v1.2	v1.2
realistiset	realisti + set
tuntomerkkeinä	tunto + merkkeinä
edistivät	edist + ivät
ympärilleni	ympärille + ni
Länsi-Euroopassa	Länsi-Euroop + assa
Uolan	Uola + n
turhautunut	turhautu + nut
ostaria	ostari + a
toimittajalta	toimittaja + lta
tietämättömyys	tietämättömyys
pakkaset	pakka + set
ydinsotaa	ydin + sotaa
tekstissä	teksti + ssä
ylikulkutunnelin	yli + kulkutunnelin
nähneet	näh + neet
Alphonso	Alphonso
kapinasta	kapina + sta
kielenopiskelijan	kielen + opiskelijan
elämäsi	elämä + si
ydinenergia	ydin + energia
huomasikin	huoma + sikin
Ruotsiin	Ruotsi + in
kasvit	kasvi + t
muovautuva	muovautuva
tukena	tuk + ena
Biodiversity	Biodiversity
Japaniin	Japani + in
punnusten	punnus + ten
julkaistava	julkaista + va
papiksi	pap + iksi
kertoakseen	kertoa + kseen
ympäristöpoliittisia	ympäristö + poliittisia
populaatiot	populaatio + t
nilviäisten	nilviäi + sten
kalseus	kalseus
4.1.	4.1.
Pirkon	Pirk + on
esittämään	esittä + mään
rekisteröidyistä	rekisteröi + dyistä
otettaessa	ot + ettaessa
harjoittamalla	harjoitta + malla
tiedostamme	tiedosta + mme
haaveilemisen	haaveilemi + sen
unohtakaamme	unohta + kaamme
kevätliikehdinnän	kevät + liikehdinnän
keltaisesta	keltai + sesta
Kaisa	Kaisa
kunnioittaminen	kunnioittaminen
maturiteetti-	maturiteetti + -
äärioikeistolaisia	ääri + oikeistolaisia
vedenpintaan	veden + pintaan
olekaan	ol + ekaan
kuljettaa	kuljettaa
KOM(2004)0096	KOM(2004)0096
pöytälaatikossa	pöytä + laatikossa
henkeä	henk + eä
muutama	muutama
Klinga	Klinga
läheisessä	lähei + sessä
kristityn	kristit + yn
toimittajille	toimittaj + ille
jäsenenä	jäsen + enä
nimillä	nimi + llä
kultakorujen	kulta + korujen
Raamatun	Raamat + un
Vezin	Vez + in
satsaaminen	satsaaminen
vaikutusvallasta	vaikutus + vallasta
EU-tasolla	EU + -tasolla
saadaankin	saada + ankin
kasvatus-	kasvatus + -
sujui	suju + i
risteili	risteil + i
selvittämisen	selvittämi + sen
kiloa	kilo + a
minimaalisella	minimaali + sella
vähemmän	vähemmän
Myllykosken	Myllykosk + en
voimavaransa	voima + varansa
ulkopuolisia	ulko + puolisia
vältti	vältt + i
myllyä	mylly + ä
urheilusta	urheilu + sta
25x25	25x25
3,50-3,65	3,50-3,65
merenpohjaan	meren + pohjaan
salit	sali + t
siirtämällä	siirtä + mällä
samassa	samassa
tuomiosta	tuomio + sta
lainalla	laina + lla
analogipinniin	analogi + pinniin
maanviljelijät	maan + viljelijät
psykologiassa	psykologia + ssa
sekalaista	sekalai + sta
kuulta	kuu + lta
perusteltua	perustel + tua
koekäytössä	koe + käytössä
ritarisotilaiden	ritari + sotilaiden
paikkoja	paikk + oja
kivikuume	kivi + kuume
kiihkeätahtinen	kiihkeä + tahtinen
pensaaseen	pensa + aseen
jättäessäni	jättä + essäni
edeltävää	edeltä + vää
EU-maat	EU + -maat
isännöintiin	isännöinti + in
kauheasti	kauheasti
löytyy	löyty + y
Ivanovoon	Ivanovo + on
ilmalla	ilma + lla
Huckabee	Huckabee
komea	komea
auttaa	auttaa
huutolaiset	huutolai + set
äkillistä	äkilli + stä
File	File
useammalta	usea + mmalta
ryntäyksen	ryntäy + ksen
ilmoitti	ilmoitt + i
odotti	odott + i
miehuuttani	miehuu + ttani
hydrauliset	hydrauli + set
kustansivat	kustan + sivat
esityksen	esity + ksen
tutkiville	tutki + ville
kertominen	kertominen
balsamietikkaa	balsami + etikkaa
itsekin	itse + kin
Balsillie	Balsillie
työtovereihinkin	työ + tovereihinkin
kukistettua	kukist + ettua
hoidettiin	hoi + dettiin
rakuunaporkkanoiden	rakuuna + porkkanoiden
hakemisto	hakemisto
ostamassa	osta + massa
väelle	vä + elle
pukeutumiskoodeja	pukeutumis + koodeja
ajatuksiaan	ajatu + ksiaan
laadunvalvontaelin	laa + dunvalvontaelin
perustiedot	perus + tiedot
pohdittu	poh + dittu
tuorejuusto	tuore + juusto
Mulberry-huivin	Mulberry + -huivin
soveltaa	soveltaa
aitauksien	aitau + ksien
Facebookin	Facebook + in
Plotinos	Plotinos
maailmankaikkeus	maailman + kaikkeus
Eurooppa-neuvoston	Eurooppa + -neuvoston
tupaantuliaisjuhlat	tupaan + tuliaisjuhlat
välittämällä	välittä + mällä
espanjankielisistä	espanjan + kielisistä
verhoissa	verho + issa
perusvalmiudet	perus + valmiudet
poskillani	poski + llani
proseminaarityöstään	pro + seminaarityöstään
artiklaan	artikla + an
jämähtänyt	jämähtä + nyt
tuoksultaan	tuoksu + ltaan
basilikaa	basilika + a
jotenkin	jotenkin
heikkoja	heikko + ja
hymyilivät	hymyil + ivät
Sacrecy	Sacrecy
Elvira	Elvira
seinähirsiä	seinä + hirsiä
arvaisi	arva + isi
palamaton	pala + maton
natsismiin	natsismi + in
tullessaan	tull + essaan
Genil	Genil
valkea	valkea
pahalta	paha + lta
asennon	asen + non
Tahitilla	Tahiti + lla
Santala	Santala
tarkoitusta	tarkoitus + ta
sarja-avaukseen	sarja + -avaukseen
Joensuun	Joensuu + n
aiheutua	aiheutua
kehää	kehä + ä
Tukholmaan	Tukholma + an
jonkin	jo + nkin
viitoittavat	viitoitta + vat
lastunmuodostusta	lastu + nmuodostusta
41,9	41,9
pesukoneessa	pesu + koneessa
2006-2008	2006-2008
liiketoimintamahdollisuuksien	liike + toimintamahdollisuuksien
Lee	Lee
pannu	pannu
osakeyhtiöitä	osake + yhtiöitä
vaunusta	vaunu + sta
aikaisemmista	aikai + semmista
itkuun	itku + un
