input	target
müzakirələrindən	müzakirə + lərindən
xəritəmiz	xəritə + miz
vəziyyətlərindən	vəziyyət + lərindən
lüğətlərin	lüğət + lərin
hüceyrələrimizdə	hüceyrə + lərimizdə
mələyin	mələ + yin
sümüklərinizdən	sümük + lərinizdən
mənzərəmin	mənzərə + min
dinozavrının	dinozavr + ının
hörümçəklərdən	hörümçək + lərdən
gün	gün
Smith	Smith
tələbənin	tələbə + nin
düşmanlarınızı	düşman + larınızı
təbiətlərdən	təbiət + lərdən
dalğanızdan	dalğa + nızdan
bitkinin	bitki + nin
əjdəhaya	əjdəha + ya
köməyimizi	kö + məyimizi
analarından	ana + larından
dünyalarınızda	dünya + larınızda
düşmanında	düşman + ında
göydələnlərdən	göydələn + lərdən
qaranquşlarda	qaranquş + larda
dinozavrımı	dinozavr + ımı
donuza	donuz + a
mismarı	mismar + ı
qəlsəmələrdə	qəlsəmə + lərdə
buzlar	buz + lar
ütünü	ütü + nü
motosikletləri	motosiklet + ləri
baldızlarınızda	baldız + larınızda
mələyimdən	mələ + yimdən
delfinləri	delfin + ləri
gümüşlər	gümüş + lər
onurğalarınızı	onurğa + larınızı
köynəklərimi	köynək + lərimi
göydələnin	göydələn + in
mədrəsələrə	mədrəsə + lərə
çərx	çərx
fəlsəfələrimizə	fəlsəfə + lərimizə
qazdan	qaz + dan
tələbə	tələbə
görə	görə
nəqqaşi	nəqqaşi
gülüşlərdə	gülüş + lərdə
bəbək	bəbək
muzeyin	muzey + in
bıçağım	bıçağ + ım
bildi	bil + di
minbərlərə	minbər + lərə
alçalarda	alça + larda
zəfəranı	zəfəran + ı
nəticələri	nəticə + ləri
hörümçəkdə	hörümçək + də
ağlayırsan	ağla + yırsan
otağı	otağ + ı
zəfəranlar	zəfəran + lar
müqayisələri	müqayisə + ləri
köməklərimiz	kömək + lərimiz
ədəbiyyatların	ədəbiyyat + ların
süngümün	süngü + mün
tilişkələrə	tilişkə + lərə
dinozavrınızdan	dinozavr + ınızdan
pəncərəli	pəncərə + li
alçalarıma	alça + larıma
dondurmanı	dondurma + nı
əjdəhalara	əjdəha + lara
yazdığını	yaz + dığını
ensiklopediyadan	ensiklopediya + dan
mismarda	mismar + da
qəzet	qəzet
rəndələrin	rəndə + lərin
eşşək	eşşək
üzün	üz + ün
dilənçilərdən	dilənçi + lərdən
əjdəhalardan	əjdəha + lardan
bacımızda	bacı + mızda
dəyirman	dəyirman
süngülərimi	süngü + lərimi
ərlərdən	ər + lərdən
fəlsəfənizə	fəlsəfə + nizə
quyruqda	quyruq + da
vəziyyətlərimə	vəziyyət + lərimə
oturacaqlar	otur + acaqlar
skripkaların	skripka + ların
şəhərləri	şəhər + ləri
mənzərələrində	mənzərə + lərində
qoxulardan	qoxu + lardan
tələbələrimizin	tələbə + lərimizin
xəncərlərin	xəncər + lərin
göydələnlər	göydələn + lər
bağbana	bağban + a
fəlsəfəni	fəlsəfə + ni
yoldaşın	yoldaş + ın
adlara	ad + lara
çəyirtkəyə	çəyirtkə + yə
geyşaların	geyşa + ların
lüğəti	lüğət + i
köməyimizdə	kö + məyimizdə
jasminlərə	jasmin + lərə
alovlar	alov + lar
qaz	qaz
mehrablardan	mehrab + lardan
qoxularıma	qoxu + larıma
odlar	od + lar
bağırtını	bağırtı + nı
dalğamıza	dalğa + mıza
içəcəksiniz	iç + əcəksiniz
dolabı	dolab + ı
düşmənlərin	düşmən + lərin
bozbaşı	bozbaş + ı
buynuzumda	buynuz + umda
alovlardan	alov + lardan
göydələndə	göydələn + də
filmlərdə	film + lərdə
zəlzələlərin	zəlzələ + lərin
köpəklər	köpək + lər
kişilərə	kişi + lərə
xəzinəmizə	xəzinə + mizə
dalğıclara	dalğıc + lara
uşaqlığımda	uşaqlığ + ımda
gülüşlərinizə	gülüş + lərinizə
ayağın	ayağ + ın
dirsəyinizdə	dirsə + yinizdə
gəmiyə	gəmi + yə
vazalarınızın	vaza + larınızın
xəzinələrinizin	xəzinə + lərinizin
əqrəblərdə	əqrəb + lərdə
quyruğa	quyruğ + a
kamertonların	kamerton + ların
gülüşlərimizin	gülüş + lərimizin
qəlsəməni	qəlsəmə + ni
şirkətlər	şirkət + lər
şamiseni	şamisen + i
süzgəc	süzgəc
üzüm	üzüm
bardaqların	bardaq + ların
gözümüzə	göz + ümüzə
adaların	ada + ların
dinlərin	din + lərin
mədrəsədə	mədrəsə + də
tərcüməmə	tərcümə + mə
baldızı	baldız + ı
ada	ada
badımcandan	badımcan + dan
istifadəçilər	istifadəçi + lər
gecələri	gecə + ləri
təsadüflərə	təsadüf + lərə
kəfgirlərindən	kəfgir + lərindən
yağışları	yağış + ları
dondurmanın	dondurma + nın
dalğıcı	dalğıc + ı
baharın	bahar + ın
kölgənə	kölgə + nə
şamisenlər	şamisen + lər
dəvələrə	dəvə + lərə
düşmanlarımız	düşman + larımız
alətlərimin	alət + lərimin
tısbağalara	tısbağa + lara
sevgini	sevgi + ni
uşaqlığımı	uşaqlığ + ımı
körfəzlərdən	körfəz + lərdən
canlara	can + lara
zoğun	zoğ + un
fəaliyyətləriniz	fəaliyyət + ləriniz
dirsəklərindən	dirsək + lərindən
süngülərimdən	süngü + lərimdən
lüğətlər	lüğət + lər
şaftalılarımda	şaftalı + larımda
vəziyyətində	vəziyyət + ində
qızıl	qızıl
yoldaşda	yoldaş + da
onurğamızı	onurğa + mızı
hörümçəklərə	hörümçək + lərə
mahnıları	mahnı + ları
donuzlarda	donuz + larda
inəklərdə	inək + lərdə
gəmini	gəmi + ni
gözünə	göz + ünə
süngünüzdən	süngü + nüzdən
gön	gön
dəvəquşlarına	dəvəquş + larına
matçdan	matç + dan
tərcümələrim	tərcümə + lərim
uşaqlığımızdan	uşaqlığ + ımızdan
dinozavrımıza	dinozavr + ımıza
qaloşlardan	qaloş + lardan
muzeylərin	muzey + lərin
düşmanlarını	düşman + larını
qoxusunun	qoxu + sunun
sümüyümə	sümü + yümə
yemişinizə	yemiş + inizə
bıçaqların	bıçaq + ların
otağının	otağ + ının
birlikdə	birlik + də
müzakirənin	müzakirə + nin
minarədən	minarə + dən
xəzinələri	xəzinə + ləri
muzey	muzey
namazlarına	namaz + larına
köynəyimizi	köynə + yimizi
baldızlarınızı	baldız + larınızı
özünüidarəetmələrə	özünüidarəetmə + lərə
görməmiş	gör + məmiş
sünnətlərdən	sünnət + lərdən
bacısı	bacı + sı
bardaqlara	bardaq + lara
fəlsəfələrinin	fəlsəfə + lərinin
nəfəslərə	nəfəs + lərə
gözümü	göz + ümü
qulaqlarına	qulaq + larına
gecələrin	gecə + lərin
yatmış	yat + mış
şaftalısına	şaftalı + sına
dünyamızı	dünya + mızı
tüstünü	tüstü + nü
qələbələrdən	qələbə + lərdən
dəvəquşlarından	dəvəquş + larından
göydələndən	göydələn + dən
rəhbərimizi	rəhbər + imizi
ilanlara	ilan + lara
sərçədə	sərçə + də
gözünüzün	göz + ünüzün
analarında	ana + larında
qəzetlərdə	qəzet + lərdə
dalğalarında	dalğa + larında
qoxularını	qoxu + larını
mənzərənizə	mənzərə + nizə
kağızlara	kağız + lara
göyərçinlərin	göyərçin + lərin
şaftalılarınıza	şaftalı + larınıza
ayaqları	ayaq + ları
badamlara	badam + lara
pişik	pişik
alçasından	alça + sından
filmin	film + in
müzakirələrdə	müzakirə + lərdə
avtomobilə	avtomobil + ə
rəhbərlərə	rəhbər + lərə
bülbülləri	bülbül + ləri
sərçələrin	sərçə + lərin
qırmız	qırmız
hüceyrələrimin	hüceyrə + lərimin
mat	mat
fəaliyyətinizin	fəaliyyət + inizin
dizlərdə	diz + lərdə
təmizləmişdi	təmizlə + mişdi
zəfər	zəfər
dəmirlərin	dəmir + lərin
mələyinizə	mələ + yinizə
köynəyinizdən	köynə + yinizdən
uşaqlıqlarımızı	uşaqlıq + larımızı
onurğandan	onurğa + ndan
mənzərədə	mənzərə + də
müzakirələrdən	müzakirə + lərdən
atlardan	at + lardan
dırnağıma	dırnağ + ıma
dirsəklərimizdə	dirsək + lərimizdə
kərgədandan	kərgədan + dan
qılıncda	qılınc + da
dünyalarınızı	dünya + larınızı
ədəbiyyatın	ədəbiyyat + ın
qulağımın	qulağ + ımın
möcüzədən	möcüzə + dən
beyinlərinizə	beyin + lərinizə
ereksiyalarına	ereksiya + larına
gülüşdə	gülüş + də
sərçəni	sərçə + ni
otaqlarda	otaq + larda
dünyalardan	dünya + lardan
əriklərimizi	ərik + lərimizi
həftəyə	həftə + yə
dənizdən	dəniz + dən
dənizi	dəniz + i
qutar	qutar
dəyilmiş	dəyil + miş
dalğıc	dalğıc
fleytanın	fleyta + nın
hüceyrəmizdə	hüceyrə + mizdə
darçından	darçın + dan
yəhudilər	yəhudi + lər
aylardan	ay + lardan
yemişlərinizə	yemiş + lərinizə
buludlardan	bulud + lardan
leşyeyənlərin	leşyeyən + lərin
sümüklərimdən	sümük + lərimdən
şirkətlərin	şirkət + lərin
tülpanlar	tülpan + lar
yemişimizə	yemiş + imizə
xalqa	xalqa
kəfgirim	kəfgir + im
tükləri	tük + ləri
hinduşka	hinduşka
dolabların	dolab + ların
canlar	can + lar
beyinlərinin	beyin + lərinin
tərcüməmizə	tərcümə + mizə
mənzərə	mənzərə
qarpıza	qarpız + a
kölgəmə	kölgə + mə
bıçaqlarımdan	bıçaq + larımdan
onurğaya	onurğa + ya
dinozavrın	dinozavr + ın
gəlirən	gəl + irən
bıçaqlarının	bıçaq + larının
günəşi	günəş + i
dinozavrlarımda	dinozavr + larımda
moridimdə	morid + imdə
ereksiyasını	ereksiya + sını
qəlbini	qəlb + ini
alçamızın	alça + mızın
kitabxanalar	kitabxana + lar
vazana	vaza + na
gözümüzü	göz + ümüzü
namazlarıma	namaz + larıma
mətbəx	mətbəx
xəritəniz	xəritə + niz
təyyarələrdə	təyyarə + lərdə
istifadəçilərdən	istifadəçi + lərdən
yardımdan	yardım + dan
pərəstar	pərəstar
kölgəmizdə	kölgə + mizdə
kraliçaları	kraliça + ları
tələbələrimdən	tələbə + lərimdən
onurğalarımızda	onurğa + larımızda
balıqdan	balıq + dan
armudları	armud + ları
qəlblərin	qəlb + lərin
yemişlərdən	yemiş + lərdən
səviyyə	səviyyə
fəaliyyətlərimizə	fəaliyyət + lərimizə
dırnağımda	dırnağ + ımda
minbərlərdən	minbər + lərdən
kölgəsi	kölgə + si
böyürtkəni	böyürtkən + i
Pəs	Pəs
donuzlar	donuz + lar
bacılara	bacı + lara
açarımızdan	açar + ımızdan
müzakirədə	müzakirə + də
kəfgirlərimizi	kəfgir + lərimizi
siçanlar	siçan + lar
fəaliyyətiniz	fəaliyyət + iniz
rəndəni	rəndə + ni
çalmışdı	çal + mışdı
balığı	balığ + ı
dirsəklərinizin	dirsək + lərinizin
mətbəxə	mətbəx + ə
ki	ki
soğanları	soğan + ları
kəpənəklərdə	kəpənək + lərdə
möcüzələrə	möcüzə + lərə
özünüidarəetmədən	özünüidarəetmə + dən
məktəblərimdə	məktəb + lərimdə
dülgərə	dülgər + ə
tələbəmizə	tələbə + mizə
dalğanızda	dalğa + nızda
mənzərənə	mənzərə + nə
beyinlərin	beyin + lərin
ilanların	ilan + ların
fakültə	fakültə
tısbağadan	tısbağa + dan
Gecəni	Gecə + ni
qardaşlarını	qardaş + larını
qazlar	qaz + lar
tüstüləri	tüstü + ləri
mehrab	mehrab
beyinlər	beyin + lər
beyninin	bey + ninin
böyrəkdən	böyrək + dən
fəlsəfəsinin	fəlsəfə + sinin
futbolçuları	futbolçu + ları
jurnalisti	jurnalist + i
gözlərimizdə	göz + lərimizdə
tərcüməmi	tərcümə + mi
penisimizin	penis + imizin
baltaları	balta + ları
buynuzumuzu	buynuz + umuzu
dəvəquşunda	dəvəquşu + nda
bacımızın	bacı + mızın
hüceyrələrini	hüceyrə + lərini
pendirə	pendir + ə
şaftalımızdan	şaftalı + mızdan
nəfəs	nəfəs
jurnalistin	jurnalist + in
kəfgirlərdən	kəfgir + lərdən
şəhərlərdə	şəhər + lərdə
meymun	meymun
xəzinəsində	xəzinə + sində
qələbələrin	qələbə + lərin
fəaliyyətim	fəaliyyət + im
nə	nə
ördəklər	ördək + lər
