input	target
vuoria	vuori + a
korjaamaan	korja + amaan
päällystettyä	päällyst + ettyä
vääriin	väär + iin
Uzejoen	Uzejo + en
supistuksien	supistu + ksien
1932	1932
ratojen	ra + tojen
kosketuksen	kosketu + ksen
siemeniä	siemen + iä
Nokialta	Nokia + lta
kamaralta	kamara + lta
lyhyenä	lyhy + enä
polviin	polvi + in
pilottihankkeita	pilotti + hankkeita
oikeuskäsittelyn	oikeus + käsittelyn
suolaisuus	suolaisuus
Μιθριδάτης	Μιθριδάτης
edistymistä	edistymi + stä
24,4	24,4
hallitsijasuvun	hallitsija + suvun
näytölle	näyt + ölle
vale-Ikea	vale + -Ikea
kiertämisen	kiertämi + sen
Eva	Eva
myhäilee	myhäil + ee
Wikipedioita	Wikipedi + oita
Khosroiani-dynastian	Khosroiani + -dynastian
Marsin	Mars + in
ravintola	ravintola
uusia	uusi + a
haihtuva	haihtu + va
viitenä	vii + tenä
parhaani	par + haani
biologinen	biologinen
katkeaminen	katkeaminen
yksitoistavuotias	yksi + toistavuotias
vilahtavat	vilahta + vat
olosuhteista	olo + suhteista
Skatan	Skata + n
10,1	10,1
kiitti	kiitt + i
yrittäen	yrittä + en
sataprosenttisen	sata + prosenttisen
69-vuotiaan	69 + -vuotiaan
Antoinetten	Antoinette + n
sekasusien	seka + susien
askeleen	askel + een
juhlallisen	juhlalli + sen
visualisointia	visualisointi + a
jokaista	jokai + sta
kadulle	ka + dulle
diversity	diversity
kuluneisuudesta	kuluneisuu + desta
kuntaa	kunta + a
korostettava	korost + ettava
fressiys	fressiys
Asteriski	Asteriski
hoitajat	hoitaja + t
nauranut	naura + nut
työtaisteluun	työ + taisteluun
uskaltaisin	uskalta + isin
luentojen	luento + jen
puoleen	puoleen
epädemokraattisia	epä + demokraattisia
runoutta	runou + tta
ehdolla	eh + dolla
aikavälillä	aika + välillä
X.	X.
kulkeneen	kulke + neen
villitsi	villi + tsi
vuorosanan	vuoro + sanan
videoita	video + ita
Saloniemi	Saloniemi
ratkaisut	ratkaisu + t
ehdotusten	ehdotus + ten
nyrkkeilijä	nyrkkeilijä
Manifestin	Manifesti + n
sokeripalan	sokeri + palan
tuomitsemme	tuomi + tsemme
luonteenpiirrettä	luonteen + piirrettä
juuri	juuri
esimerkkityöllistyjiä	esimerkki + työllistyjiä
miljardin	miljardi + n
vilunkipeliä	vilunki + peliä
mozzarellaa	mozzarella + a
Katri	Katri
1877	1877
reilua	reilu + a
ennakkoluuloa	ennakko + luuloa
vaihtoehtoja	vaihto + ehtoja
jutellaan	jutella + an
säännösten	säännös + ten
vakuutusyhtiön	vakuutus + yhtiön
yrittää	yrittää
ihmisolennon	ihmis + olennon
tiedemiehet	tiede + miehet
perustylsässä	perus + tylsässä
jäivät	jä + ivät
näkevänsä	nä + kevänsä
Graenitziä	Graenitz + iä
rupattelimme	rupat + telimme
ruokaympyrät	ruoka + ympyrät
opintopistettä	opinto + pistettä
massoihin	mass + oihin
nimetty	nime + tty
jatkuvasta	jatkuva + sta
l’Europe	l’Europe
pyrkii	pyrki + i
GitHubia	GitHub + ia
Jagriin	Jagr + iin
mielenkiintoisiin	mielenkiintoi + siin
heilutteli	heilut + teli
kerrata	kerrata
indeksoitu	indeksoi + tu
elelevät	elel + evät
omistamista	omista + mista
arvojen	arvo + jen
kehuvat	kehu + vat
odotuksen	odotu + ksen
suunnitelmiensa	suunnitelm + iensa
kauppojen	kaupp + ojen
oppaat	op + paat
kuunnella	kuunnella
hidastuttua	hidastu + ttua
Viksu-tiedekilpailun	Viksu + -tiedekilpailun
tuli	tul + i
kukoistaessa	kukoista + essa
pepun	pep + un
bassojytke	basso + jytke
mennessään	menn + essään
OP-Pohjolan	OP-Pohjola + n
Lund	Lund
pirusti	pirusti
kansanpuolue	kansan + puolue
hallitustyöhön	hallitus + työhön
vaaleansininen	vaalean + sininen
ihmeteltävää	ihmetel + tävää
siiderin	siideri + n
tasan	tasan
MIT:stä	MIT + :stä
Zyprexa	Zyprexa
sammalta	sammal + ta
699,4	699,4
nuoriso	nuoriso
renkaaksi	ren + kaaksi
maksaman	maksa + man
puolisolta	puoliso + lta
kuullessaan	kuull + essaan
metsätalouskäytön	metsä + talouskäytön
mutaisia	mutai + sia
käsittelemme	käsit + telemme
aloittamasta	aloitta + masta
toppahousujen	toppa + housujen
helpposivelteinen	helppo + sivelteinen
uni	uni
tunnettavuutensa	tunnettavuu + tensa
toivuttu	toi + vuttu
d6	d6
3-8	3-8
kieli	kieli
tulonsiirtounioni	tulon + siirtounioni
oikeuden	oikeu + den
kuolluthan	kuollut + han
nostettu	nost + ettu
fileleikkeitä	file + leikkeitä
katsoessani	katso + essani
EKP	EKP
kilpaileva	kilpaileva
pihdeillä	pih + deillä
sattui	sattu + i
paskaa	paska + a
haluaisi	halu + aisi
teen	tee + n
alempana	alempana
Uotilan	Uotila + n
työntää	työntää
pelastuspaketin	pelastus + paketin
käsittelivät	käsit + telivät
makuuhuoneesta	makuu + huoneesta
kuoleman	kuolema + n
tympii	tympi + i
ilmeetön	ilmeetön
laskeutuva	laskeutu + va
arvioitu	arvioi + tu
lääkärien	lääkäri + en
logistiikkayrityksiä	logistiikka + yrityksiä
Current	Current
tulemista	tulemi + sta
aerodynaaminen	aerodynaaminen
taustoihin	taus + toihin
ajankohtaiset	ajan + kohtaiset
haalaritonta	haalariton + ta
tarkoitetuilla	tarkoit + etuilla
rakastetaan	rakast + etaan
Formula	Formula
seitsemännelle	seitsemä + nnelle
Heikkinen	Heikkinen
