word,pred_seed42,gold_segmentation,source,sentence,pred_seed123,pred_seed456,correct_seed42,correct_seed123,correct_seed456
Postinumeroalueista,Postinumeroalue + ista,posti + numero + alue + i + sta,Helsinki,Postinumeroalueista eniten ulkomaalaistaustaisia asuu Kontula - Vesala - Kivikko -alueella eli 43 prosenttia väestöstä.,Postinumeroalue + ista,Postinumeroalue + ista,0,0,0
eniten,eniten,eniten,Helsinki,Postinumeroalueista eniten ulkomaalaistaustaisia asuu Kontula - Vesala - Kivikko -alueella eli 43 prosenttia väestöstä.,eniten,eniten,1,1,1
ulkomaalaistaustaisia,ulko + maalaistaustaisia,ulko + maa + lais + tausta + is + i + a,Helsinki,Postinumeroalueista eniten ulkomaalaistaustaisia asuu Kontula - Vesala - Kivikko -alueella eli 43 prosenttia väestöstä.,ulko + maalaistaustaisia,ulko + maalaistaustaisia,0,0,0
Kontula,Kontula,Kontula,Helsinki,Postinumeroalueista eniten ulkomaalaistaustaisia asuu Kontula - Vesala - Kivikko -alueella eli 43 prosenttia väestöstä.,Kontula,Kontula,1,1,1
Vesala,Vesala,Vesala,Helsinki,Postinumeroalueista eniten ulkomaalaistaustaisia asuu Kontula - Vesala - Kivikko -alueella eli 43 prosenttia väestöstä.,Vesala,Vesala,1,1,1
Kivikko,Kivikko,Kivikko,Helsinki,Postinumeroalueista eniten ulkomaalaistaustaisia asuu Kontula - Vesala - Kivikko -alueella eli 43 prosenttia väestöstä.,Kivikko,Kivikko,1,1,1
alueella,alue + ella,alue + lla,Helsinki,Postinumeroalueista eniten ulkomaalaistaustaisia asuu Kontula - Vesala - Kivikko -alueella eli 43 prosenttia väestöstä.,alue + ella,alue + ella,0,0,0
prosenttia,prosentti + a,prosentti + a,Helsinki,Postinumeroalueista eniten ulkomaalaistaustaisia asuu Kontula - Vesala - Kivikko -alueella eli 43 prosenttia väestöstä.,prosentti + a,prosentti + a,1,1,1
väestöstä,väestö + stä,väestö + stä,Helsinki,Postinumeroalueista eniten ulkomaalaistaustaisia asuu Kontula - Vesala - Kivikko -alueella eli 43 prosenttia väestöstä.,väestö + stä,väestö + stä,1,1,1
luvun,lu + vun,luku + n,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",lu + vun,luvu + n,0,0,0
klassismi,klassismi,klassismi,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",klassismi,klassismi,1,1,1
vaihettui,vaihettu + i,vaihtu + i,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",vaihettu + i,vaihettu + i,0,0,0
vähitellen,vähitellen,vähitellen,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",vähitell + en,vähitell + en,1,0,0
pelkistyen,pelkisty + en,pelkisty + en,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",pelkisty + en,pelkisty + en,1,1,1
funktionalismiin,funktionalismi + in,funktionalismi + in,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",funktionalismi + in,funktionalismi + in,1,1,1
jätti,jätt + i,jätt + i,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",jätt + i,jätt + i,1,1,1
Helsinkiin,Helsinki + in,Helsinki + in,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",Helsinki + in,Helsinki + in,1,1,1
paljon,paljon,paljon,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",paljon,paljon,1,1,1
rakennuksia,rakennu + ksia,rakennus + i + a,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",rakennu + ksia,rakennu + ksia,0,0,0
jotka,jo + tka,joka + t,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",jo + tka,jo + tka,0,0,0
tyylillisesti,tyylillisesti,tyyli + llise + sti,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",tyylillisesti,tyylillisesti,0,0,0
näiden,nä + iden,nämä + i + den,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",nä + iden,nä + iden,0,0,0
tyylisuuntien,tyyli + suuntien,tyyli + suunta + i + en,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",tyyli + suuntien,tyyli + suuntien,0,0,0
