input	target
qardaşını	qardaş + ını
görünüz	gör + ünüz
kokmalıydık	kok + malıydık
süpürgələri	süpürgə + ləri
düşmanların	düşman + ların
kaldıracımızın	kaldırac + ımızın
zamanlarımızın	zaman + larımızın
psixoterapiya	psixoterapiya
gözünüzü	göz + ünüzü
hələ	hələ
örtüydüm	örtü + ydüm
yılgın	yılgın
kurutmazsın	kurut + mazsın
bıçağımıza	bıçağ + ımıza
artmıyordunuz	art + mıyordunuz
boyamazmışız	boya + mazmışız
tilişkədən	tilişkə + dən
kraliçadan	kraliça + dan
kilsə	kilsə
dırnaqlarınız	dırnaq + larınız
güləcəksən	gül + əcəksən
jasmində	jasmin + də
dayanacaqdan	dayanacaq + dan
hatırlarında	hatır + larında
penislərdə	penis + lərdə
valizlerimiz	valiz + lerimiz
pelininizde	pelin + inizde
ölülerdin	ölü + lerdin
kalemle	kalem + le
mahnıda	mahnı + da
bacıda	bacı + da
anjiyografilerinize	anjiyografi + lerinize
dişlilerimizde	dişli + lerimizde
konumuzda	konu + muzda
gülüşünüzə	gülüş + ünüzə
fəlsəfəndə	fəlsəfə + ndə
krizimizden	kriz + imizden
mədrəsədən	mədrəsə + dən
sarımsaqlardan	sarımsaq + lardan
katılmayacaksın	katıl + mayacaksın
əriyimizdən	əri + yimizdən
sivilizasiyanın	sivilizasiya + nın
müsabiqədən	müsabiqə + dən
texnologiyaya	texnologiya + ya
bardaqları	bardaq + ları
beyninizdən	bey + ninizdən
elirəm	el + irəm
surədən	surə + dən
torunlardınız	torun + lardınız
pezevenklerdi	pezevenk + lerdi
ittirtmemişmişsin	ittirt + memişmişsin
sızarım	sız + arım
canlandırılırmışsın	canlandırıl + ırmışsın
ətlərdən	ət + lərdən
köynəklərimi	köynək + lərimi
quş	quş
dağılmalıymışız	dağıl + malıymışız
yasaklarını	yasak + larını
təzyiqi	təzyiq + i
bacılarımızdan	bacı + larımızdan
uşağ	uşa + ğ
müzakirələrim	müzakirə + lərim
karararak	karar + arak
uşaqlıqlarımı	uşaqlıq + larımı
bilyende	bilye + nde
biseksüellerdin	biseksüel + lerdin
saklamışsınız	sakla + mışsınız
yaramıştım	yara + mıştım
keçilərdə	keçi + lərdə
kraliça	kraliça
bacılarda	bacı + larda
hastadan	hasta + dan
hinduşkaya	hinduşka + ya
oraqlara	oraq + lara
dumanlardan	duman + lardan
dirilmişmişim	diril + mişmişim
güneşte	güneş + te
asetonun	aseton + un
uşaqlıqlarının	uşaqlıq + larının
futbolçuda	futbolçu + da
elmana	elma + na
ayda	ay + da
döndürdüler	döndür + düler
böleriz	böl + eriz
tavernalara	taverna + lara
dəvəquşunu	dəvəquşu + nu
inanıyormuşum	inan + ıyormuşum
cücülər	cücü + lər
qarışqalara	qarışqa + lara
meyvələrin	meyvə + lərin
açarların	açar + ların
rüzgâra	rüzgâr + a
xloroplastlardan	xloroplast + lardan
şaftalıya	şaftalı + ya
köynəyi	köynə + yi
müzakirənə	müzakirə + nə
pul	pul
süzgəclərdən	süzgəc + lərdən
namazımıza	namaz + ımıza
canlandırtmadık	canlandırt + madık
bacılarımızda	bacı + larımızda
köynəklərindən	köynək + lərindən
şaftalımızdan	şaftalı + mızdan
buynuzumuz	buynuz + umuz
röpörtajlarımıza	röpörtaj + larımıza
məktəblərinin	məktəb + lərinin
yapabilmenin	yap + abilmenin
abisini	abi + sini
yemişlərimizin	yemiş + lərimizin
qələbənin	qələbə + nin
göğsünü	göğ + sünü
dermezdi	der + mezdi
boğuyorlardı	boğ + uyorlardı
solumamalıymışsınız	solu + mamalıymışsınız
evriminizden	evrim + inizden
valörlü	valörlü
acıkmalıydı	acık + malıydı
süngüsünün	süngü + sünün
mələyinizi	mələ + yinizi
alçaların	alça + ların
park	park
hastalanmazmışsın	hastalan + mazmışsın
açarımı	açar + ımı
korkmazdın	kork + mazdın
xəritəmiz	xəritə + miz
fəaliyyətinizdən	fəaliyyət + inizdən
