word,pred_seed42,gold_segmentation,source,sentence,pred_seed123,pred_seed456,correct_seed42,correct_seed123,correct_seed456
Bugün,Bugün,bugün,İstanbul,"Bugün İstanbul, eski Konstantinopolis'in metropol hâli olarak kabul edilebilir.",Bugün,Bugün,1,1,1
İstanbul,İstanbul,İstanbul,İstanbul,"Bugün İstanbul, eski Konstantinopolis'in metropol hâli olarak kabul edilebilir.",İstanbul,İstanbul,1,1,1
Konstantinopolis'in,Konstantinopolis + 'in,Konstantinopolis + in,İstanbul,"Bugün İstanbul, eski Konstantinopolis'in metropol hâli olarak kabul edilebilir.",Konstantinopolis + 'in,Konstantinopolis + 'in,0,0,0
metropol,metropol,metropol,İstanbul,"Bugün İstanbul, eski Konstantinopolis'in metropol hâli olarak kabul edilebilir.",metropol,metropol,1,1,1
olarak,ol + arak,ol + a + rak,İstanbul,"Bugün İstanbul, eski Konstantinopolis'in metropol hâli olarak kabul edilebilir.",ol + arak,ol + arak,0,0,0
kabul,kabul,kabul,İstanbul,"Bugün İstanbul, eski Konstantinopolis'in metropol hâli olarak kabul edilebilir.",kabul,kabul,1,1,1
edilebilir,ed + ilebilir,et + il + e + bil + ir,İstanbul,"Bugün İstanbul, eski Konstantinopolis'in metropol hâli olarak kabul edilebilir.",ed + ilebilir,ed + ilebilir,0,0,0
Cumhuriyet,Cumhuriyet,Cumhuriyet,İstanbul,Cumhuriyet dönemi Cumhuriyet sonrası 1923-1950 yılları arasında fiziksel atılımlar oldu.,Cumhuriyet,Cumhuriyet,1,1,1
dönemi,dönem + i,dönem + i,İstanbul,Cumhuriyet dönemi Cumhuriyet sonrası 1923-1950 yılları arasında fiziksel atılımlar oldu.,dönem + i,dönem + i,1,1,1
sonrası,sonra + sı,sonra + sı,İstanbul,Cumhuriyet dönemi Cumhuriyet sonrası 1923-1950 yılları arasında fiziksel atılımlar oldu.,sonra + sı,sonra + sı,1,1,1
yılları,yıl + ları,yıl + lar + ı,İstanbul,Cumhuriyet dönemi Cumhuriyet sonrası 1923-1950 yılları arasında fiziksel atılımlar oldu.,yıl + ları,yıl + ları,0,0,0
arasında,ara + sında,ara + sı + n + da,İstanbul,Cumhuriyet dönemi Cumhuriyet sonrası 1923-1950 yılları arasında fiziksel atılımlar oldu.,ara + sında,ara + sında,0,0,0
fiziksel,fiziksel,fizik + sel,İstanbul,Cumhuriyet dönemi Cumhuriyet sonrası 1923-1950 yılları arasında fiziksel atılımlar oldu.,fiziksel,fiziksel,0,0,0
atılımlar,atılım + lar,atıl + ım + lar,İstanbul,Cumhuriyet dönemi Cumhuriyet sonrası 1923-1950 yılları arasında fiziksel atılımlar oldu.,atılım + lar,atılım + lar,0,0,0
İstanbul'un,İstanbul + 'un,İstanbul + un,İstanbul,"İstanbul'un yazları sıcak ve nemli; kışları soğuk, yağışlı ve bazen karlıdır.",İstanbul + 'un,İstanbul + 'un,0,0,0
yazları,yaz + ları,yaz + lar + ı,İstanbul,"İstanbul'un yazları sıcak ve nemli; kışları soğuk, yağışlı ve bazen karlıdır.",yaz + ları,yaz + ları,0,0,0
sıcak,sıcak,sıcak,İstanbul,"İstanbul'un yazları sıcak ve nemli; kışları soğuk, yağışlı ve bazen karlıdır.",sıcak,sıcak,1,1,1
nemli,nemli,nem + li,İstanbul,"İstanbul'un yazları sıcak ve nemli; kışları soğuk, yağışlı ve bazen karlıdır.",nemli,nemli,0,0,0
kışları,kış + ları,kış + lar + ı,İstanbul,"İstanbul'un yazları sıcak ve nemli; kışları soğuk, yağışlı ve bazen karlıdır.",kış + ları,kış + ları,0,0,0
soğuk,soğuk,soğuk,İstanbul,"İstanbul'un yazları sıcak ve nemli; kışları soğuk, yağışlı ve bazen karlıdır.",soğuk,soğuk,1,1,1
yağışlı,yağışlı,yağ + ış + lı,İstanbul,"İstanbul'un yazları sıcak ve nemli; kışları soğuk, yağışlı ve bazen karlıdır.",yağışlı,yağışlı,0,0,0
bazen,bazen,bazen,İstanbul,"İstanbul'un yazları sıcak ve nemli; kışları soğuk, yağışlı ve bazen karlıdır.",bazen,bazen,1,1,1
karlıdır,karlı + dır,kar + lı + dır,İstanbul,"İstanbul'un yazları sıcak ve nemli; kışları soğuk, yağışlı ve bazen karlıdır.",karlı + dır,karlı + dır,0,0,0
