word,pred_seed42,gold_segmentation,source,sentence,pred_seed123,pred_seed456,correct_seed42,correct_seed123,correct_seed456
kerületben,kerület + ben,kerület + ben,Budapest,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",kerület + ben,kerület + ben,1,1,1
viszont,viszont,viszont,Budapest,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",viszon + t,viszon + t,1,0,0
egykori,egykori,egykor + i,Budapest,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",egykori,egykori,0,0,0
települések,település + ek,település + ek,Budapest,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",település + ek,település + ek,1,1,1
Pestszentlőrinc,Pestszentlőrinc,pestszentlőrinc,Budapest,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",Pestszentlőrinc,Pestszentlőrinc,1,1,1
Pestszentimre,Pestszentim + re,pestszentimre,Budapest,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",Pestszentim + re,Pestszentim + re,0,0,0
Csepel,Csepel,csepel,Budapest,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",Csepel,Csepel,1,1,1
területe,terület + e,terület + e,Budapest,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",terület + e,terület + e,1,1,1
számos,számos,szám + os,Budapest,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",számos,számos,0,0,0
városrészre,városrész + re,városrész + re,Budapest,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",városrész + re,városrész + re,1,1,1
tagolódik,tagolódik,tagolód + ik,Budapest,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",tagolódik,tagolódik,0,0,0
város,város,város,Budapest,"A város arculatát a keleti városeszményhez igazították, fürdők, bazárok, dzsámik épültek.",város,város,1,1,1
arculatát,arculat + át,arculat + át,Budapest,"A város arculatát a keleti városeszményhez igazították, fürdők, bazárok, dzsámik épültek.",arculat + át,arculat + át,1,1,1
keleti,keleti,kelet + i,Budapest,"A város arculatát a keleti városeszményhez igazították, fürdők, bazárok, dzsámik épültek.",keleti,keleti,0,0,0
városeszményhez,városeszmény + hez,városeszmény + hez,Budapest,"A város arculatát a keleti városeszményhez igazították, fürdők, bazárok, dzsámik épültek.",városeszmény + hez,városeszmény + hez,1,1,1
igazították,igazít + ották,igaz + ít + ot + ták,Budapest,"A város arculatát a keleti városeszményhez igazították, fürdők, bazárok, dzsámik épültek.",igazít + ották,igazít + ották,0,0,0
fürdők,fürdő + k,fürd + ő + k,Budapest,"A város arculatát a keleti városeszményhez igazították, fürdők, bazárok, dzsámik épültek.",fürdő + k,fürdő + k,0,0,0
bazárok,bazár + ok,bazár + ok,Budapest,"A város arculatát a keleti városeszményhez igazították, fürdők, bazárok, dzsámik épültek.",bazár + ok,bazár + ok,1,1,1
dzsámik,dzsámi + k,dzsámi + k,Budapest,"A város arculatát a keleti városeszményhez igazították, fürdők, bazárok, dzsámik épültek.",dzsámi + k,dzsámi + k,1,1,1
épültek,épül + tek,épül + tek,Budapest,"A város arculatát a keleti városeszményhez igazították, fürdők, bazárok, dzsámik épültek.",épül + tek,épül + tek,1,1,1
eddigi,eddigi,eddig + i,Budapest,"Az eddigi legmagasabb hőmérsékletet (40,7 °C) 2007.",eddig + i,eddigi,0,1,0
legmagasabb,legmagasabb,leg + magas + abb,Budapest,"Az eddigi legmagasabb hőmérsékletet (40,7 °C) 2007.",legmagas + abb,legmagasabb,0,0,0
hőmérsékletet,hőmérséklet + et,hőmérséklet + et,Budapest,"Az eddigi legmagasabb hőmérsékletet (40,7 °C) 2007.",hőmérséklet + et,hőmérséklet + et,1,1,1
csapadékmennyiség,csapadékmennyiség,csapadék + mennyiség,Budapest,"A csapadékmennyiség éves átlaga 516 mm, a legcsapadékosabb hónapok a június és a november.",csapadékmennyiség,csapadékmennyiség,0,0,0
átlaga,átlag + a,átlag + a,Budapest,"A csapadékmennyiség éves átlaga 516 mm, a legcsapadékosabb hónapok a június és a november.",átlag + a,átlag + a,1,1,1
legcsapadékosabb,legcsapadékosabb,leg + csapadék + os + abb,Budapest,"A csapadékmennyiség éves átlaga 516 mm, a legcsapadékosabb hónapok a június és a november.",legcsapadékos + abb,legcsapadékosabb,0,0,0
hónapok,hónap + ok,hónap + ok,Budapest,"A csapadékmennyiség éves átlaga 516 mm, a legcsapadékosabb hónapok a június és a november.",hónap + ok,hónap + ok,1,1,1
június,június,június,Budapest,"A csapadékmennyiség éves átlaga 516 mm, a legcsapadékosabb hónapok a június és a november.",június,június,1,1,1
november,november,november,Budapest,"A csapadékmennyiség éves átlaga 516 mm, a legcsapadékosabb hónapok a június és a november.",november,november,1,1,1
század,száz + ad,száz + ad,Budapest,"század előtt beépültek, általában az egykori városrészekkel egyeznek meg, míg azokon a területeken, melyek 1950 előtt Budapesthez tartoztak, de a 20.",száz + ad,száz + ad,1,1,1
előtt,elő + tt,előtt,Budapest,"század előtt beépültek, általában az egykori városrészekkel egyeznek meg, míg azokon a területeken, melyek 1950 előtt Budapesthez tartoztak, de a 20.",elő + tt,elő + tt,0,0,0
beépültek,beépül + tek,be + épül + tek,Budapest,"század előtt beépültek, általában az egykori városrészekkel egyeznek meg, míg azokon a területeken, melyek 1950 előtt Budapesthez tartoztak, de a 20.",beépül + tek,beépül + tek,0,0,0
általában,általá + ban,általában,Budapest,"század előtt beépültek, általában az egykori városrészekkel egyeznek meg, míg azokon a területeken, melyek 1950 előtt Budapesthez tartoztak, de a 20.",általá + ban,általá + ban,0,0,0
városrészekkel,városrész + ekkel,városrész + ek + kel,Budapest,"század előtt beépültek, általában az egykori városrészekkel egyeznek meg, míg azokon a területeken, melyek 1950 előtt Budapesthez tartoztak, de a 20.",városrész + ekkel,városrész + ekkel,0,0,0
egyeznek,egyez + nek,egyez + nek,Budapest,"század előtt beépültek, általában az egykori városrészekkel egyeznek meg, míg azokon a területeken, melyek 1950 előtt Budapesthez tartoztak, de a 20.",egyez + nek,egyez + nek,1,1,1
azokon,az + okon,az + ok + on,Budapest,"század előtt beépültek, általában az egykori városrészekkel egyeznek meg, míg azokon a területeken, melyek 1950 előtt Budapesthez tartoztak, de a 20.",az + okon,az + okon,0,0,0
területeken,terület + eken,terület + ek + en,Budapest,"század előtt beépültek, általában az egykori városrészekkel egyeznek meg, míg azokon a területeken, melyek 1950 előtt Budapesthez tartoztak, de a 20.",terület + eken,terület + eken,0,0,0
melyek,mely + ek,mely + ek,Budapest,"század előtt beépültek, általában az egykori városrészekkel egyeznek meg, míg azokon a területeken, melyek 1950 előtt Budapesthez tartoztak, de a 20.",mely + ek,mely + ek,1,1,1
Budapesthez,Budapest + hez,budapest + hez,Budapest,"század előtt beépültek, általában az egykori városrészekkel egyeznek meg, míg azokon a területeken, melyek 1950 előtt Budapesthez tartoztak, de a 20.",Budapest + hez,Budapest + hez,1,1,1
tartoztak,tartoz + tak,tartoz + tak,Budapest,"század előtt beépültek, általában az egykori városrészekkel egyeznek meg, míg azokon a területeken, melyek 1950 előtt Budapesthez tartoztak, de a 20.",tartoz + tak,tartoz + tak,1,1,1
legnagyobbnak,legnagyobb + nak,leg + nagy + obb + nak,Budapest,"(A legnagyobbnak, Pest megyének 12 egyéni képviselője van).",legnagyobb + nak,legnagyobb + nak,0,0,0
megyének,megyé + nek,megyé + nek,Budapest,"(A legnagyobbnak, Pest megyének 12 egyéni képviselője van).",megyé + nek,megyé + nek,1,1,1
egyéni,egyéni,egyéni,Budapest,"(A legnagyobbnak, Pest megyének 12 egyéni képviselője van).",egyéni,egyéni,1,1,1
képviselője,képviselő + je,képvisel + ő + je,Budapest,"(A legnagyobbnak, Pest megyének 12 egyéni képviselője van).",képviselő + je,képviselő + je,0,0,0
rendszeresen,rendszeres + en,rendszer + es + en,Budapest,"rendszeresen kerülnek ki a szabadba papagájok, és megfigyelték már, hogy fészket is rakott egy barátpapagáj (Myiopsitta monachus) pár.",rendszeres + en,rendszeres + en,0,0,0
kerülnek,kerül + nek,kerül + nek,Budapest,"rendszeresen kerülnek ki a szabadba papagájok, és megfigyelték már, hogy fészket is rakott egy barátpapagáj (Myiopsitta monachus) pár.",kerül + nek,kerül + nek,1,1,1
szabadba,szabad + ba,szabad + ba,Budapest,"rendszeresen kerülnek ki a szabadba papagájok, és megfigyelték már, hogy fészket is rakott egy barátpapagáj (Myiopsitta monachus) pár.",szabad + ba,szabad + ba,1,1,1
papagájok,papagáj + ok,papagáj + ok,Budapest,"rendszeresen kerülnek ki a szabadba papagájok, és megfigyelték már, hogy fészket is rakott egy barátpapagáj (Myiopsitta monachus) pár.",papagáj + ok,papagáj + ok,1,1,1
megfigyelték,megfigyel + ték,meg + figyel + ték,Budapest,"rendszeresen kerülnek ki a szabadba papagájok, és megfigyelték már, hogy fészket is rakott egy barátpapagáj (Myiopsitta monachus) pár.",megfigyel + ték,megfigyel + ték,0,0,0
fészket,fész + ket,fészk + et,Budapest,"rendszeresen kerülnek ki a szabadba papagájok, és megfigyelték már, hogy fészket is rakott egy barátpapagáj (Myiopsitta monachus) pár.",fész + ket,fész + ket,0,0,0
rakott,rak + ott,rak + ott,Budapest,"rendszeresen kerülnek ki a szabadba papagájok, és megfigyelték már, hogy fészket is rakott egy barátpapagáj (Myiopsitta monachus) pár.",rak + ott,rak + ott,1,1,1
barátpapagáj,barátpapagáj,barátpapagáj,Budapest,"rendszeresen kerülnek ki a szabadba papagájok, és megfigyelték már, hogy fészket is rakott egy barátpapagáj (Myiopsitta monachus) pár.",barátpapagá + j,barátpapagáj,1,0,1
Myiopsitta,Myiopsitta,Myiopsitta,Budapest,"rendszeresen kerülnek ki a szabadba papagájok, és megfigyelték már, hogy fészket is rakott egy barátpapagáj (Myiopsitta monachus) pár.",Myiopsitta,Myiopsitta,1,1,1
monachus,monachus,monachus,Budapest,"rendszeresen kerülnek ki a szabadba papagájok, és megfigyelték már, hogy fészket is rakott egy barátpapagáj (Myiopsitta monachus) pár.",monachus,monachus,1,1,1
német,német,német,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",német,német,1,1,1
megszállást,megszállás + t,meg + száll + ás + t,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",megszállás + t,megszállás + t,0,0,0
követően,követő + en,követ + ő + en,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",követő + en,követő + en,0,0,0
lakosság,lakosság,lak + os + ság,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",lakosság,lakosság,0,0,0
része,rész + e,rész + e,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",rész + e,rész + e,1,1,1
holokausztnak,holokauszt + nak,holokauszt + nak,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",holokauszt + nak,holokauszt + nak,1,1,1
