input	target
adná	ad + ná
projektitöitään	projekti + töitään
frontokat	front + okat
vajad	vaj + ad
fáklyafényként	fáklyafény + ként
mauzóleumul	mauzóleum + ul
lovassporté	lovassport + é
tuomassa	tuo + massa
érvényességié	érvényességi + é
luottaa	luottaa
sáfároknak	sáfár + oknak
életfogytiglanig	életfogytiglan + ig
játszmáknál	játszmá + knál
jättimurtojen	jätti + murtojen
kevätsiivouksen	kevät + siivouksen
häntäänsä	häntä + änsä
felkeresd	felkeres + d
varoittavia	varoittav + ia
súlyosságban	súlyosság + ban
hengissä	hengissä
poikasi	poika + si
puolivälierissä	puoli + välierissä
työskentelevien	työsken + televien
csecsekkel	csecs + ekkel
támaszpontoké	támaszpont + oké
névtanoknak	névtan + oknak
szunnyadtak	szunnyad + tak
menestyksekästä	menestyksekäs + tä
remetelakokra	remetelak + okra
bogáncsaink	bogáncs + aink
leimasikin	leima + sikin
koivuista	koivu + ista
Jarzembowskia	Jarzembowski + a
keräämään	kerä + ämään
ringatlak	ringat + lak
kereteim	keret + eim
forogtunk	forog + tunk
előléptetésből	előléptetés + ből
csombordotok	csombord + otok
cinkéből	cinké + ből
szolgálókra	szolgáló + kra
massiivista	massiivi + sta
bátorítottatok	bátorít + ottatok
harjoittamaan	harjoitta + maan
kapunkból	kapunk + ból
muullakin	muu + llakin
aikoinaan	aik + oinaan
valtioliitos	valtio + liitos
támogatón	támogató + n
lén	lé + n
fekvőtámaszokhoz	fekvőtámasz + okhoz
parlamenteista	parlament + eista
oszlottál	oszl + ottál
vegyészeknél	vegyész + eknél
erityissäännöksistä	erityis + säännöksistä
valokuvaukseen	valo + kuvaukseen
minkäänlaista	minkäänlai + sta
puolisot	puoliso + t
együttesetek	együttes + etek
suurkuluttajia	suur + kuluttajia
árvíz	árvíz
képernyőbe	képernyő + be
päinvastoin	päinvastoin
moottoriurheilua	moottori + urheilua
hipotalamuszként	hipotalamusz + ként
kávésra	kávés + ra
1810-luvulla	1810 + -luvulla
talpamra	talpam + ra
köbcsontokhoz	köbcsont + okhoz
együttérezzünk	együttérez + zünk
syleilyynsä	syleily + ynsä
määräytyi	määräyty + i
neurózisa	neurózis + a
osaketta	osake + tta
Kroatia	Kroatia
Szakcstól	Szakcs + tól
Ride	Ride
urheilua	urheilu + a
osoitti	osoitt + i
rakentamisen	rakentami + sen
teleksillä	teleksi + llä
cimbalmosaik	cimbalmos + aik
rizsmája	rizsmá + ja
jámborakon	jámbor + akon
päävalmentajana	pää + valmentajana
dinamókból	dinamó + kból
rauhaan	rauha + an
osasi	osa + si
tartománytól	tartomány + tól
sukelsi	sukel + si
kényszerüljetek	kényszerül + jetek
postafiókként	postafiók + ként
työskentelytapoihin	työskentely + tapoihin
kandúrom	kandúr + om
muutamat	muutama + t
keruu-	keruu + -
nyakunk	nyak + unk
6-osokba	6-os + okba
simítottalak	simít + ottalak
minimálbérekhez	minimálbér + ekhez
vähentämistä	vähentämi + stä
työantajat	työ + antajat
yhdeksälle	yhdeksä + lle
asiakirjoista	asia + kirjoista
egészen	egész + en
szabóitok	szabó + itok
divatjáéi	divatjá + éi
évelőkéi	évelő + kéi
elämäntapansa	elämän + tapansa
távoktatásoknál	távoktatás + oknál
rendellenességeitek	rendellenesség + eitek
villasukat	villa + sukat
Orissassa	Orissa + ssa
Noormarkussa	Noormark + ussa
De	De
eldöntsük	eldönt + sük
sovitussa	so + vitussa
hymyilevän	hymyil + evän
norvégod	norvég + od
egyoldalúaknál	egyoldalú + aknál
lounaisrinteessä	lounais + rinteessä
terhességekből	terhesség + ekből
nimettyihin	nime + ttyihin
jakaneet	jaka + neet
várhatóé	várható + é
matoista	mat + oista
dugókról	dugó + król
prosztatáé	prosztatá + é
sárgítanálak	sárgít + análak
vajlingotok	vajling + otok
viharosakért	viharos + akért
dijonilainen	dijonilainen
nyenyeceknél	nyenyec + eknél
ismereteid	ismeret + eid
arvostusmenetelmiä	arvostus + menetelmiä
fodrászotok	fodrász + otok
fogadásod	fogadás + od
repülőszőnyegeik	repülőszőnyeg + eik
manikűrösökéi	manikűrös + ökéi
poliittisista	poliitti + sista
jättiläissakot	jättiläis + sakot
vetomme	veto + mme
fantasiamaailmassa	fantasia + maailmassa
pixeljeitek	pixel + jeitek
falloszokként	fallosz + okként
alueina	alue + ina
kistérsége	kistérség + e
trombitaművészekként	trombitaművész + ekként
vizionálnunk	vizionál + nunk
vieraita	viera + ita
ympäristörikollisuuden	ympäristö + rikollisuuden
edustavia	edustav + ia
hajlamosságúakba	hajlamosságú + akba
ihania	ihan + ia
Salvadorig	Salvador + ig
álomországaim	álomország + aim
kavereille	kaver + eille
aromailla	aro + mailla
käytöksen	käytö + ksen
didaktikához	didaktiká + hoz
ostettua	ost + ettua
nudekenkien	nude + kenkien
teemaksi	teema + ksi
halottakká	halott + akká
zafírja	zafír + ja
köszönésekig	köszönés + ekig
opiskelemaan	opiskel + emaan
hadseregé	hadsereg + é
työpaikan	työ + paikan
olvasnivalójuk	olvasnivaló + juk
vapuksi	vap + uksi
halmai	hal + mai
tehtävästään	tehtävä + stään
kreativitást	kreativitás + t
kiválasztottakhoz	kiválasztott + akhoz
verenpainelääkkeeksi	veren + painelääkkeeksi
cserkészlánnyá	cserkészlán + nyá
kilpailleista	kilpaill + eista
