input	target
böyrəklərin	böyrək + lərin
gölləri	göl + ləri
peyğəmbərə	peyğəmbər + ə
içdin	iç + din
mənzərəyə	mənzərə + yə
bülbüllərdən	bülbül + lərdən
dinozavrımız	dinozavr + ımız
tərcümələrimdən	tərcümə + lərimdən
onurğamızı	onurğa + mızı
pilləkənə	pilləkən + ə
alçalarınız	alça + larınız
şamisenlərin	şamisen + lərin
əqrəblərinizə	əqrəb + lərinizə
şəhərdən	şəhər + dən
yemişi	yemiş + i
bağırsaq	bağırsaq
beyinlərimdə	beyin + lərimdə
şaftalımızı	şaftalı + mızı
qardaşlarınıza	qardaş + larınıza
axşamlar	axşam + lar
filmdən	film + dən
qonşudan	qonşu + dan
rəhbərlər	rəhbər + lər
köynəyi	köynə + yi
qardaşlarıma	qardaş + larıma
alçalarıma	alça + larıma
gözünüz	göz + ünüz
gümüşə	gümüş + ə
cümələri	cümə + ləri
qadınlarda	qadın + larda
dünyana	dünya + na
ereksiyanı	ereksiya + nı
ağladıq	ağla + dıq
ciblərdə	cib + lərdə
fəaliyyətinizə	fəaliyyət + inizə
tülpanlarda	tülpan + larda
can	can
açarınıza	açar + ınıza
əqrəbimə	əqrəb + imə
göyərçini	göyərçin + i
hüceyrələrimdə	hüceyrə + lərimdə
göyərçində	göyərçin + də
dovşana	dovşan + a
meymunlar	meymun + lar
xəritələrimdən	xəritə + lərimdən
qonşunun	qonşu + nun
texnologiyalarda	texnologiya + larda
bacılarından	bacı + larından
qərənfilin	qərənfil + in
intiharın	intihar + ın
darçınların	darçın + ların
həqiqəti	həqiqət + i
içəcəyik	iç + əcəyik
işıqlara	işıq + lara
məktəbə	məktəb + ə
maşınların	maşın + ların
anaların	ana + ların
xəritəsində	xəritə + sində
fəlsəfələrində	fəlsəfə + lərində
köynəyim	köynə + yim
mənzərələrinizə	mənzərə + lərinizə
təzyiqlərdə	təzyiq + lərdə
kölgələrimizdə	kölgə + lərimizdə
namazı	namaz + ı
rəssamdan	rəssam + dan
soğanlardan	soğan + lardan
dünyalara	dünya + lara
damcıları	damcı + ları
göyərçinlərə	göyərçin + lərə
baldızımı	baldız + ımı
tərcümələrinin	tərcümə + lərinin
sümüyümüzü	sümü + yümüzü
qulaqlarınızda	qulaq + larınızda
qonax	qonax
qaranquşa	qaranquş + a
motosikletdə	motosiklet + də
zəfəranları	zəfəran + ları
brilyantlara	brilyant + lara
ismə	is + mə
köməyimdən	kö + məyimdən
yemişləriniz	yemiş + ləriniz
minbərlərdən	minbər + lərdən
körpülər	körpü + lər
gönlərə	gön + lərə
pianolardan	piano + lardan
zəfərin	zəfər + in
anaya	ana + ya
sümüyümüzün	sümü + yümüzün
arxiv	arxiv
karp	karp
yaquara	yaquar + a
göyərçinə	göyərçin + ə
gecələr	gecə + lər
quş	quş
zürafədən	zürafə + dən
süngüdə	süngü + də
rəhbərimi	rəhbər + imi
xalqaları	xalqa + ları
çiçəklərin	çiçək + lərin
gül	gül
dirsəklərinə	dirsək + lərinə
mələkləri	mələk + ləri
rəhbərinizdən	rəhbər + inizdən
penisimizi	penis + imizi
qarışqanın	qarışqa + nın
fəlsəfələrinin	fəlsəfə + lərinin
dəmirlərdə	dəmir + lərdə
dillərdən	dil + lərdən
müzakirələrinin	müzakirə + lərinin
bulaq	bulaq
rənglədilər	rənglə + dilər
ereksiyana	ereksiya + na
şaftalımda	şaftalı + mda
zürafəyə	zürafə + yə
sümüklərimizi	sümük + lərimizi
İguazu	İguazu
zəfəranlara	zəfəran + lara
bıçaqlarım	bıçaq + larım
sümüyümü	sümü + yümü
ədəbiyyatı	ədəbiyyat + ı
dilənçinin	dilənçi + nin
elirəm	el + irəm
almazın	almaz + ın
şamisenlərdə	şamisen + lərdə
südlərə	süd + lərə
gönlərdən	gön + lərdən
xəritəmə	xəritə + mə
qardaşdan	qardaş + dan
köməklərinizə	kömək + lərinizə
filmdə	film + də
buzda	buz + da
günbəzdə	günbəz + də
quyruqlarda	quyruq + larda
köməklərimizdən	kömək + lərimizdən
amma	amma
kəfgirin	kəfgir + in
öpüşlərdə	öpüş + lərdə
dalğalar	dalğa + lar
süngülərim	süngü + lərim
arxivdən	arxiv + dən
onurğalarınızın	onurğa + larınızın
xəbəri	xəbər + i
dəyirmanda	dəyirman + da
