word,pred_seed42,gold_segmentation,source,sentence,pred_seed123,pred_seed456,correct_seed42,correct_seed123,correct_seed456
Fasadın,Fasad + ın,fasad + ın,Bakı,Fasadın mərkəzini Bakı şəhərinin gerbi bəzəyir.,Fasad + ın,Fasad + ın,1,1,1
mərkəzini,mərkəz + ini,mərkəz + i + ni,Bakı,Fasadın mərkəzini Bakı şəhərinin gerbi bəzəyir.,mərkəz + ini,mərkəz + ini,0,0,0
şəhərinin,şəhər + inin,şəhər + i + n + in,Bakı,Fasadın mərkəzini Bakı şəhərinin gerbi bəzəyir.,şəhər + inin,şəhər + inin,0,0,0
gerbi,gerb + i,gerb + i,Bakı,Fasadın mərkəzini Bakı şəhərinin gerbi bəzəyir.,gerb + i,gerb + i,1,1,1
bəzəyir,bəzə + yir,bəzə + yir,Bakı,Fasadın mərkəzini Bakı şəhərinin gerbi bəzəyir.,bəzə + yir,bəzə + yir,1,1,1
şəhərin,şəhər + in,şəhər + in,Bakı,Şəhərin sosial həyatında tacirlərin rolu artır.,şəhər + in,şəhər + in,1,1,1
sosial,sosial,sosial,Bakı,Şəhərin sosial həyatında tacirlərin rolu artır.,sosial,sosial,1,1,1
həyatında,həyat + ında,həyat + ın + da,Bakı,Şəhərin sosial həyatında tacirlərin rolu artır.,həyat + ında,həyat + ında,0,0,0
tacirlərin,tacir + lərin,tacir + lər + in,Bakı,Şəhərin sosial həyatında tacirlərin rolu artır.,tacir + lərin,tacir + lərin,0,0,0
artır,art + ır,art + ır,Bakı,Şəhərin sosial həyatında tacirlərin rolu artır.,art + ır,art + ır,1,1,1
İkinci,ikinc + i,iki + n + ci,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",İkinc + i,İkinc + i,0,0,0
dünya,dünya,dünya,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",dünya,dünya,1,1,1
müharibəsi,müharibə + si,müharibə + si,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",müharibə + si,müharibə + si,1,1,1
Azərbaycandan,Azərbaycan + dan,azərbaycan + dan,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",Azərbaycan + dan,Azərbaycan + dan,1,1,1
şimaliqərb,şimaliqərb,şimal + i + qərb,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",şimaliqərb,şimaliqərb,0,0,0
regionlarında,region + larında,region + lar + ı + n + da,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",region + larında,region + larında,0,0,0
başlansa,başla + nsa,başla + n + sa,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",başlan + sa,başlan + sa,0,0,0
Adolf,Adolf,adolf,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",Adolf,Adolf,1,1,1
Hitler,Hit + ler,hitler,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",Hit + ler,Hit + ler,0,0,0
neftlə,neft + lə,neft + lə,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",neft + lə,neft + lə,1,1,1
zəngin,zəng + in,zəngin,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",zəng + in,zəng + in,0,0,0
Bakını,Bakı + nı,bakı + n + ı,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",Bakı + nı,Bakı + nı,0,0,0
etməyi,et + məyi,et + mə + yi,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",etmə + yi,etmə + yi,0,0,0
özünün,öz + ünün,öz + ü + n + ün,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",öz + ünün,öz + ünün,0,0,0
məqsədlərindən,məqsəd + lərindən,məqsəd + lər + i + n + dən,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",məqsəd + lərindən,məqsəd + lərindən,0,0,0
hesab,hesab,hesab,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",hesab,hesab,1,1,1
edirdi,edir + di,ed + ir + di,Bakı,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",edir + di,edir + di,0,0,0
Bundan,Bun + dan,bu + n + dan,Bakı,"Bundan əlavə, istehsal olunmuş xammalı və neft məhsullarını Şimali Qafqaz və Volqa çayı ilə daşımaq mümkün deyildi.",Bun + dan,Bun + dan,0,0,0
əlavə,əlavə,əlavə,Bakı,"Bundan əlavə, istehsal olunmuş xammalı və neft məhsullarını Şimali Qafqaz və Volqa çayı ilə daşımaq mümkün deyildi.",əlav + ə,əlav + ə,1,0,0
