language,word,model_prediction,gold_annotator1,gold_annotator2,sentence,adjudicated_gold,adjudication_note
aze,bəzəyir,bəzə + yir,bəzə + yir,bəzə + y + ir,Fasadın mərkəzini Bakı şəhərinin gerbi bəzəyir.,bəzə + y + ir,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
aze,etməyi,et + məyi,et + mə + yi,et + mək + i,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",,"MANUAL: same depth (3), different analysis"
aze,yerləşir,yerləş + ir,yerləşir,yer + ləş + ir,Bakı şəhər İcra Hakimiyyətinin binası İstiqlaliyyət küçəsinin mərkəzində yerləşir.,yer + ləş + ir,"AUTO: chose more-segmented (annotator2, 3 vs 1)"
aze,verdiyi,ver + diyi,ver + di + yi,ver + di + y + i,"Din 2012-ci ildə Dini Qurumlarla İş üzrə Dövlət Komitəsinin verdiyi mənbəyə görə, Bakı ərazisində 120 məscid var.",ver + di + y + i,"AUTO: chose more-segmented (annotator2, 4 vs 3)"
aze,mənbəyə,mənbə + yə,mənbə + yə,mənbə + y + ə,"Din 2012-ci ildə Dini Qurumlarla İş üzrə Dövlət Komitəsinin verdiyi mənbəyə görə, Bakı ərazisində 120 məscid var.",mənbə + y + ə,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
aze,almışdır,al + mışdır,almışdır,al + mış + dır,Həmin fərmanla Bakı şəhəri quberniya mərkəzi statusu almışdır.,al + mış + dır,"AUTO: chose more-segmented (annotator2, 3 vs 1)"
aze,Cənubi,Cənub + i,cənubi,cənub + i,Bu dövrdə Cənubi Azərbaycandan da on minlərlə azərbaycanlı Bakıya miqrasiya etmişdi.,cənub + i,"AUTO: chose more-segmented (annotator2, 2 vs 1)"
aze,hərbistrateji,hərbistratej + i,hərbi + strateji,hərb + i + strateji,"XVII–XIX əsrlər Bakının zəngin təbii sərvətləri, habelə mühüm hərbi-strateji əhəmiyyəti XVIII əsrin əvvəllərindən etibarən Rusiyanın diqqətini cəlb edirdi.",hərb + i + strateji,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
aze,üçüncü,üçünc + ü,üç + ün + cü,üç + üncü,14 aprel 1967-ci ildə Bakı şəhərinin üçüncü gerbi qəbul edilmişdir.,üç + ün + cü,"AUTO: chose more-segmented (annotator1, 3 vs 2)"
aze,onların,on + ların,on + lar + ın,o + n + lar + ın,"Dövlət Statistika Komitəsinin 2014-cü ildə yaydığı məlumata əsasən, Azərbaycanda 30 beşulduzlu otel var və onların əksəriyyəti Bakıda yerləşir.",o + n + lar + ın,"AUTO: chose more-segmented (annotator2, 4 vs 3)"
aze,həlledici,həlledic + i,həlledici,həll + et + ici,"Müharibənin həlledici mərhələsi olan 1942-ci ildə Xəzər dənizi ilə cəbhəyə 505 min ton, Həştərxan vasitəsilə 336 min ton neft məhsulları daşınmışdır.",həll + et + ici,"AUTO: chose more-segmented (annotator2, 3 vs 1)"
